"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"63","300.2593958673732","379.7822788251693","4.661793186116421","-0.3114525709719431","0.0185546875","0.0224609375","0.0146484375","1500","0.00012728607490783485","0","0.00012728607490783485","0.00012728607490783485","63_62:0.008502807281700941","63_62:660","true"
"64","182.9097021308455","220.06835157360737","4.751421069451355","-0.3107555679666697","0.020751953125","0.01904296875","0.0224609375","1500","0.00018379928775549622","0","0.00018379928775549622","0.00018379928775549622","64_63:0.005516814093384059;64_65:0.005660244315638996","64_63:660;64_65:660","true"
"65","515.6625244222708","113.79297753686299","4.68381756984637","-0.3112548288758768","0.070068359375","0.06201171875","0.078125","1500","0.00014722546310873844","0","0.00014722546310873844","0.00014722546310873844","","","true"
"66","159.3968863302928","176.6817413641738","4.932207140437002","-0.30805561692545796","0.016845703125","0.01416015625","0.01953125","1500","0.00044797265827731524","0","0.00044797265827731524","0.00044797265827731524","66_73:0.01375350052801838;66_65:0.012398717493448008","66_73:660;66_65:660","true"
"67","313.5654653581485","240.96838858616917","4.720286898674588","-0.31066413212907157","0.1005859375","0.04833984375","0.15283203125","1500","0.00008930562593839282","0","0.00008930562593839282","0.00008930562593839282","67_66:0.010696880440316803","67_66:660","true"
"68","220.05179835252525","81.10647096169049","4.831387692937429","-0.30844225394428076","0.038818359375","0.03466796875","0.04296875","1500","0.0005850837682675054","0","0.0005850837682675054","0.0005850837682675054","68_67:0.0071206818549017226","68_67:660","true"
"69","258.1419037589379","44.90366939084125","4.704735600613985","-0.3112827319556066","0.01611328125","0.015625","0.0166015625","1500","0.00034170493897219673","0","0.00034170493897219673","0.00034170493897219673","69_68:0.011463568585243611","69_68:660","true"
"70","231.78927647768054","41.788935473079405","4.7670204827457825","-0.2991547723061579","0.055419921875","0.041015625","0.06982421875","1500","0.00042357357756115917","0","0.00042357357756115917","0.00042357357756115917","70_74:0.010182273939812858;70_69:0.013163951696430032","70_74:660;70_69:660","true"
"71","345.2747566688191","99.65190519435833","4.9727422472074005","-0.307078522160035","0.043701171875","0.041015625","0.04638671875","1500","0.00026519439244518226","0","0.00026519439244518226","0.00026519439244518226","71_58:0.006444038596289947;71_77:1","71_58:660;71_77:660","true"
"72","43.24580334093319","27.078102563658454","4.738152512073598","-0.2795033791163603","0.047607421875","0.037109375","0.05810546875","1500","0.0008246728255120225","0","0.0008246728255120225","0.0008246728255120225","","","true"
"73","248.70251008947832","245.41574601921616","5.021281357108708","-0.30664972496028814","0.024169921875","0.0185546875","0.02978515625","1500","0.0001892113792352852","0","0.0001892113792352852","0.0001892113792352852","","","true"
"74","281.12744388163827","271.31986695723316","4.806713070853135","-0.3099374655099208","0.016845703125","0.02197265625","0.01171875","1500","0.00020309506961902355","0","0.00020309506961902355","0.00020309506961902355","74_89:0.014356203165092007","74_89:660","true"
"75","81.74029008344192","75.55301758043318","4.769265803927412","-0.31864378902985674","0.039794921875","0.0390625","0.04052734375","1500","0.0002638892218045594","0","0.0002638892218045594","0.0002638892218045594","","","true"
"76","169.44447290159107","172.09485152779462","5.029961451050304","-0.30657106883198","0.01318359375","0.0078125","0.0185546875","1500","0.0003264594194994874","0","0.0003264594194994874","0.0003264594194994874","76_75:0.012425971632992916;76_77:1","76_75:660;76_77:660","true"
"77","320.6526108385704","16.338443243212602","4.791078927814601","-0.30523623500221747","0.313720703125","0.3193359375","0.30810546875","1500","0.0645784203242502","0","0.0645784203242502","0.0645784203242502","","","true"
"78","290.0974916757038","126.58088821974016","4.825338480252586","-0.31003497533609325","0.03271484375","0.03369140625","0.03173828125","1500","0.0002671298941933892","0","0.0002671298941933892","0.0002671298941933892","78_77:1","78_77:660","true"
"79","515.2355822512969","408.27418522133286","4.73949176478377","-0.3109722246864854","0.005126953125","0.00537109375","0.0048828125","1500","0.0001340782905516219","0","0.0001340782905516219","0.0001340782905516219","79_78:0.005661111341753511;79_80:0.011483686887716171;79_91:0.007877490791402708","79_78:660;79_80:660;79_91:660","true"
"80","161.9985931602864","218.856896143424","4.902781380982293","-0.30849992225723727","0.00439453125","0.00390625","0.0048828125","1500","0.0003385924923958484","0","0.0003385924923958484","0.0003385924923958484","80_81:0.009214521845368362","80_81:660","true"
"81","233.63990292514","277.6980682036104","4.788906609214837","-0.3062637065230052","0.0126953125","0.0126953125","0.0126953125","1500","0.00034889932407341807","0","0.00034889932407341807","0.00034889932407341807","81_72:0.01466661893825072","81_72:660","true"
"82","319.9616943637242","379.7278378391796","4.64135260469471","-0.31186369766334915","0.013916015625","0.01513671875","0.0126953125","1500","0.00016551586839561882","0","0.00016551586839561882","0.00016551586839561882","82_81:0.007025844536447445;82_83:0.006838699295764361","82_81:660;82_83:660","true"
"83","452.9319828088967","338.0084975479827","4.75533272392515","","0.007080078125","0.0087890625","0.00537109375","1500","0.0001872493284176541","0","0.0001872493284176541","0.0001872493284176541","83_92:0.010461056312280115","83_92:660","true"
"84","316.90961378034103","136.67897546421614","4.855385077758882","-0.3088109632745694","0.012939453125","0.0107421875","0.01513671875","1500","0.00016812630868333057","0","0.00016812630868333057","0.00016812630868333057","84_83:0.005026484460478764","84_83:660","true"
"85","188.86411254591505","210.21945448840822","4.933644900730505","-0.30818679430408225","0.025146484375","0.03271484375","0.017578125","1500","0.000399209790659762","0","0.000399209790659762","0.000399209790659762","85_73:0.013964770464923781;85_84:0.008370967385453842;85_86:0.014321974126453696","85_73:660;85_84:660;85_86:660","true"
"86","241.15399632908964","145.89246821266676","4.841216848136126","-0.3084204215042869","0.044921875","0.00830078125","0.08154296875","1500","0.00020680061106453256","0","0.00020680061106453256","0.00020680061106453256","","","true"
"87","155.70950374064617","173.0187355616712","4.90613975507944","-0.3081333190724671","0.02490234375","0.033203125","0.0166015625","1500","0.000684689659139498","0","0.000684689659139498","0.000684689659139498","87_86:0.018891234222313424","87_86:660","true"
"88","131.29704789214418","130.47863487006103","4.835113518996659","-0.3093682896600593","0.0078125","0.01123046875","0.00439453125","1500","0.00033597113871126194","0","0.00033597113871126194","0.00033597113871126194","88_87:0.014176520573590257;88_89:0.017526562848909577","88_87:660;88_89:660","true"
"89","190.79644547521988","14.825481206287115","4.7558977944861605","-0.2933671127408654","0.0341796875","0.03125","0.037109375","1500","0.0007111888526849314","0","0.0007111888526849314","0.0007111888526849314","","","true"
"90","244.8478642621751","321.53121840843187","4.642526921875791","-0.3124305227976497","0.135009765625","0.1171875","0.15283203125","1500","0.00030167866637267736","0","0.00030167866637267736","0.00030167866637267736","90_75:0.007265253982411235","90_75:660","true"
"91","517.4851261391613","115.58017943270619","4.6819319582138235","-0.3122188850304044","0.027099609375","0.0341796875","0.02001953125","1500","0.0003668301917952111","0","0.0003668301917952111","0.0003668301917952111","91_98:0.008689291499692886","91_98:660","true"
"92","160.37228980415526","251.91431816114013","4.981990572034529","-0.3068508672278072","0.013427734375","0.00927734375","0.017578125","1500","0.00026759135871625117","0","0.00026759135871625117","0.00026759135871625117","92_102:0.012945216181679986","92_102:660","true"
"93","226.37425513899836","293.02369478862846","5.074439345630415","-0.3054233025897763","0.0146484375","0.01025390625","0.01904296875","1500","0.0002517646452014797","0","0.0002517646452014797","0.0002517646452014797","93_106:0.006083604089009431;93_87:0.013935773792926154","93_106:660;93_87:660","true"
